country_id;country_name;powerplant_name;gppd_idnr;capacity_mw;latitude;longitude;primary_fuel_id;primary_fuel;source;url;geolocation_source;generation_gwh_2013;generation_gwh_2014;generation_gwh_2015;generation_gwh_2016;generation_gwh_2017
3;United States of America;Saluda Lexington;USA0003293;2073;340533;-812172;4;Hydro;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;254191;110245;25278300000000000;130763;51487
3;United States of America;Sam Rayburn;USA0003631;2152;288947;-971350;2;Gas;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;0;0;0;0;137771
3;United States of America;Sam Rayburn Dam;USA0006413;520;310609;-941062;4;Hydro;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;46063;55602000000000000;138206;122742;106371
3;United States of America;Sampson County Disposal;USA0057492;96;349856;-784625;3;Waste;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;60203;77447;81191;6459400000000000;6457300000000000
3;United States of America;San Antonio Regional Hospital;USA0050234;27;341019;-1176381;2;Gas;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;1514394;1063692;117943;13911100000000000;1326234
3;United States of America;San Antonio West Solar Rooftop;USA0057904;15;339656;-1176591;13;Solar;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;3211;3055;2949;2657;2862
3;United States of America;San Diego State University;USA0050061;151;327782;-1170701;2;Gas;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;58663;71452;68736;56648000000000000;53877
3;United States of America;San Dimas;USA0006646;99;341275;-1177958;4;Hydro;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;21567;29330000000000000;24159;38554;54133
3;United States of America;San Dimas Wash Generating Station;USA0050233;10;341242;-1178051;4;Hydro;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;0;0;0;1495;377
3;United States of America;San Emidio;USA0057456;118;403806;-1193997;9;Geothermal;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;76626;76894;79538;75049;6659100000000000
3;United States of America;San Fernando;USA0000403;56;343128;-1184928;4;Hydro;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;648;-28;124;682;21678
3;United States of America;San Francisquito 1;USA0006479;693;345902;-1184547;4;Hydro;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;47259;39849000000000000;16001;68807;27894100000000000
3;United States of America;San Francisquito 2;USA0006480;420;345343;-1185251;4;Hydro;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;16540000000000000;2482;2609;112;9441
3;United States of America;San Gabriel Hydro Project;USA0054017;50;342043;-1178557;4;Hydro;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;458;61;23600000000000000;855;10011000000000000
3;United States of America;San Gorgonio Farms Wind Farm;USA0050281;310;339261;-1166150;1;Wind;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;78855;69706;80645;88967;8758200000000000
3;United States of America;San Gorgonio Westwinds II LLC;USA0050690;434;339340;-1165781;1;Wind;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;121571;11111800000000000;114519;110141;110549
3;United States of America;San Gorgonio Windplant WPP1993;USA0054454;495;339184;-1165739;1;Wind;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;18218800000000000;185544;180105;18788400000000000;163933
3;United States of America;San Jacinto County Peaking Facility;USA0056603;1700;304193;-950118;2;Gas;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;220429;32419100000000000;0;0;175149
3;United States of America;San Jacinto Steam Electric Station;USA0007325;1764;296948;-950406;2;Gas;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;908371;825179;90026;974299;940147
3;United States of America;San Joaquin 2;USA0000276;28;372032;-1194975;4;Hydro;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;2556;913;0;33890000000000000;6723
3;United States of America;San Joaquin 3;USA0000277;40;372537;-1195194;4;Hydro;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;3394;1185;0;48;1156
3;United States of America;San Jose Cogeneration;USA0010548;60;373361;-1218783;2;Gas;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;0;0;0;0;36579
3;United States of America;San Juan;USA0002451;9240;368006;-1084386;5;Coal;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;10510457443000000;10360010125;9007454963;10277563614000000;10859285927
3;United States of America;San Juan Mesa Wind Project LLC;USA0056304;1200;339716;-1038604;1;Wind;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;39495300000000000;402646;30559000000000000;39758;402225
3;United States of America;San Luis Valley Solar Ranch;USA0057317;350;376945;-1059276;13;Solar;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;72734;78493;73776;77242;76257
3;United States of America;San Miguel;USA0006183;4100;287044;-984775;5;Coal;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;2678805981;2173032024;21696280310000000;23518580280000000;25569769910000000
3;United States of America;Sand Bar Power Plant;USA0050400;162;381861;-1201500;4;Hydro;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;54748000000000000;21691;30306;9496300000000000;126136
3;United States of America;Sand Bluff Wind Farm;USA0056479;900;319914;-1013026;1;Wind;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;255566;265943;24020000000000000;154794;176124
3;United States of America;Sand Drag LLC;USA0057361;190;359828;-1201103;13;Solar;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;4232;40729;40597;40166000000000000;33936
